brand,name,latitude,longitude,address,place_id,rating,user_ratings_total,geometry,index_right,population,city
Krispy Kreme,Pinkbox Doughnuts,36.1716321,-115.1466335,"1 N Main St, Las Vegas",ChIJPfNwzHjDyIARLBuftetU37c,4.4,492.0,POINT (-115.1466335 36.1716321),7,,las vegas
Krispy Kreme,SUNRISE DONUTS,36.0710212,-115.2074311,"6530 S Decatur Blvd, Las Vegas",ChIJl2aZchTGyIARjFbsrah3kmo,4.4,215.0,POINT (-115.2074311 36.0710212),7,,las vegas
Krispy Kreme,Winchell's,36.17125770000001,-115.2053679,"4700 Meadows Ln, Las Vegas",ChIJxUWYOXHByIARyhapagiqIpM,4.3,320.0,POINT (-115.2053679 36.17125770000001),7,,las vegas
Krispy Kreme,Master Donuts,36.1300778,-115.1199588,"2300 E Desert Inn Rd UNIT 11, Las Vegas",ChIJrS9RJ-rEyIAR4QM5d0IJUBs,4.8,469.0,POINT (-115.1199588 36.1300778),7,,las vegas
Krispy Kreme,Dunkin',36.1268243,-115.2793903,"3481 S Durango Dr, Las Vegas",ChIJDwxNH6nAyIAReSjSwn85qb0,3.6,656.0,POINT (-115.2793903 36.1268243),7,,las vegas
Krispy Kreme,Carl's Donuts,36.0724886,-115.1056545,"3170 Sunset Rd SUITE F, Las Vegas",ChIJuYgh1fnPyIARHVoWAxRGXQA,4.6,435.0,POINT (-115.1056545 36.0724886),7,,las vegas
Krispy Kreme,Mario's WestSide Market,36.1951214,-115.159735,"1425 W Lake Mead Blvd, Las Vegas",ChIJTbc920jCyIARrmGqnbDkidw,4.2,3122.0,POINT (-115.159735 36.1951214),7,,las vegas
Krispy Kreme,Randy's Donuts,36.1481279,-115.242652,"2170 S Rainbow Blvd, Las Vegas",ChIJYWU1j8rByIAR0By3q5pG-JY,4.1,704.0,POINT (-115.242652 36.1481279),7,,las vegas
Krispy Kreme,48th and Crepe,36.102586,-115.174056,"3790 S Las Vegas Blvd Zumanity - New York New York Theater, Las Vegas",ChIJA10F1jLEyIARUB5Gi3HDjS0,4.4,578.0,POINT (-115.174056 36.102586),7,,las vegas
Gap,Gap,36.1515663,-115.3332434,"1820 Festival Plaza Dr Suite 120, Las Vegas",ChIJNw2DEFW-yIARNPJLumBCLq0,4.3,97.0,POINT (-115.3332434 36.1515663),7,,las vegas
Gap,Gap Factory,36.1644456,-115.1590634,"795 S Grand Central Pkwy Suite 2287, Las Vegas",ChIJC66-pZfDyIARcM5UqIYcVwU,4.4,582.0,POINT (-115.1590634 36.1644456),7,,las vegas
Gap,Gap,36.127597,-115.172433,"3200 Las Vegas Blvd S Ste #210, Las Vegas",ChIJgRlzrRXEyIARj5Yp_lYWmU4,4.2,103.0,POINT (-115.172433 36.127597),7,,las vegas
Banana Republic,Banana Republic,36.1510665,-115.3336721,"1875 Festival Plaza Dr Ste #120, Las Vegas",ChIJ8wa6elW-yIARULU1pSVCKgY,4.2,64.0,POINT (-115.3336721 36.1510665),7,,las vegas
Banana Republic,Banana Republic Factory Store,36.1652794,-115.1575579,"605 S Grand Central Pkwy Space 1280, Las Vegas",ChIJC66-pZfDyIAR9hoUn4mN3pk,4.4,298.0,POINT (-115.1575579 36.1652794),7,,las vegas
Banana Republic,Banana Republic,36.1275702,-115.1696932,"3200 Las Vegas Blvd S Suite 1495, Las Vegas",ChIJMRFy9hTEyIARgFOEUj9VO_4,4.2,91.0,POINT (-115.1696932 36.1275702),7,,las vegas
Old Navy,Old Navy,36.1990567,-115.2406939,"2180 N Rainbow Blvd, Las Vegas",ChIJd4byHSzAyIARzoG_bxSUlGc,4.3,644.0,POINT (-115.2406939 36.1990567),7,,las vegas
Old Navy,Old Navy,36.0675025,-115.1784643,"M, 6587 Las Vegas Blvd S 8-169, Building, Las Vegas",ChIJ5RmAafHFyIAR9fH3GvRmghk,4.3,368.0,POINT (-115.1784643 36.0675025),7,,las vegas
Old Navy,Old Navy,36.2370127,-115.1706666,"1985 W Craig Rd, North Las Vegas",ChIJ_8dSu8LpyIARqZFjHFjfTSE,4.2,537.0,POINT (-115.1706666 36.2370127),7,,las vegas
Old Navy,Old Navy,36.14623700000001,-115.3324049,"2310 Park Centre Dr Suite 140, Las Vegas",ChIJLxThyP--yIARso2dfA82a08,4.4,317.0,POINT (-115.3324049 36.14623700000001),7,,las vegas
